"Price","Carat","Color","Clarity","Depth"
7846.9,1.25,"D","SI1",69.2
9615.4,1.25,"E","VS1",72.9
6707.8,1.25,"H","VS1",70.9
6750,1.25,"H","VS2",75.8
9057.8,1.26,"D","VS2",76.1
8143.2,1.3,"F","SI1",75.1
10003.5,1.3,"G","IF",73.3
8704.8,1.3,"G","VS2",75
7765.9,1.3,"H","VVS1",71.7
9868.7,1.32,"F","VS1",74.3
9205,1.37,"H","IF",75
10607.9,1.38,"G","VVS1",73.8
11946.7,1.42,"D","VS1",72.9
12418.7,1.52,"D","VS2",75.5
11524,1.52,"G","VS2",75.7
13425.8,1.7,"G","VS2",73.3
14753.6,1.71,"F","VS2",76.4
14405,1.71,"G","VS2",70.3
16028.8,1.77,"E","VS2",73.1
17833.8,1.79,"F","VVS2",75.3
14948.4,1.82,"G","VS2",72
20481.5,2.01,"G","VS1",72.1
23020.2,2.03,"F","VS2",72.9
22406.3,2.03,"F","VS2",74.2
21170.4,2.03,"G","VS2",71.3
29200.5,2.06,"F","VVS1",70.5
24299,2.33,"G","VS2",74.2
32276.5,2.53,"G","IF",74.3
53191.2,3.01,"F","VVS1",71.5
44495.3,3.01,"G","VS1",72
54884.6,3.17,"F","VVS2",71.5
56454.4,3.35,"F","VVS2",75.2
7335.9,1.52,"F","SI2",63.4
2916,0.8,"H","VVS2",69.9
5021.9,0.97,"G","VVS1",70
7009.9,1.25,"G","VS2",71.9
11604.1,1.52,"F","VS1",70.4
13899.5,1.72,"G","VS1",69.1
