"","region","fertility","ppgdp","lifeExpF","pctUrban"
"Iceland","Europe",2.098,39278,83.77,94
"India","Asia",2.538,1406.4,67.62,30
"Indonesia","Asia",2.055,2949.3,71.8,45
"Iran","Asia",1.587,5227.1,75.28,71
"Iraq","Asia",4.535,888.5,72.6,66
"Jamaica","Caribbean",2.262,4899,75.98,52
"Jordan","Asia",2.889,4445.3,75.17,79
"Kazakhstan","Asia",2.481,9166.7,72.84,59
"Kiribati","Oceania",3.5,1468.2,63.1,44
"Kuwait","Asia",2.251,45430.4,75.89,98
"Kyrgyzstan","Asia",2.621,865.4,72.36,35
"Laos","Asia",2.543,1047.6,69.42,34
"Latvia","Europe",1.506,10663,78.51,68
"Lebanon","Asia",1.764,9283.7,75.07,87
"Lithuania","Europe",1.495,10975.5,78.28,67
"Macao","Asia",1.163,49990.2,83.8,100
"Malaysia","Asia",2.572,8372.8,76.86,73
"Maldives","Asia",1.668,4684.5,78.7,41
"Malta","Europe",1.284,19599.2,82.29,95
"Marshall Islands","Oceania",4.38446625852824,3069.4,70.6,72
"Micronesia","Oceania",3.307,2678.2,70.17,23
"Moldova","Europe",1.45,1625.8,73.48,48
"Mongolia","Asia",2.446,2246.7,72.83,63
"Montenegro","Europe",1.63,6509.8,77.37,61
"Myanmar","Asia",1.939,876.2,67.87,34
"Nepal","Asia",2.587,534.7,70.05,19
"Neth Antilles","Caribbean",1.9,20321.1,79.86,93
"New Caledonia","Oceania",2.091,35319.5,80.49,57
"Nicaragua","Latin Amer",2.5,1131.9,77.45,58
"North Korea","Asia",1.988,504,72.12,60
"Oman","Asia",2.146,20791,76.44,73
"Pakistan","Asia",3.201,1003.2,66.88,36
"Palau","Oceania",2,10821.8,72.1,84
"Palestinian Territory","Asia",4.27,1819.5,74.81,74
"Panama","Latin Amer",2.409,7614,79.07,75
"Papua New Guinea","Oceania",3.799,1428.4,65.52,13
"Paraguay","Latin Amer",2.858,2771.1,74.91,62
"Peru","Latin Amer",2.41,5410.7,76.9,77
"Philippines","Asia",3.05,2140.1,72.57,49
"Puerto Rico","Caribbean",1.757,26461,83.2,99
"Qatar","Asia",2.204,72397.9,78.24,96
"Republic of Korea","Asia",1.389,21052.2,83.95,83
"Romania","Europe",1.428,7522.4,77.95,58
"Russian Federation","Europe",1.529,10351.4,75.01,73
"Saint Lucia","Caribbean",1.907,6677.1,77.54,28
"Samoa","Oceania",3.763,3343.3,76.02,20
"Saudi Arabia","Asia",2.639,15835.9,75.57,82
"Serbia","Europe",1.562,5123.2,77.05,56
"Singapore","Asia",1.367,43783.1,83.71,100
"Solomon Islands","Oceania",4.041,1193.5,70,19
"Spain","Europe",1.504,30542.8,84.76,78
"Sri Lanka","Asia",2.235,2375.3,78.4,14
"St Vincent and Grenadines","Caribbean",1.995,6171.7,74.73,50
"Suriname","Latin Amer",2.266,7018,74.18,70
"Syria","Asia",2.772,2931.5,77.72,56
"Tajikistan","Asia",3.162,816,71.23,26
"TFYR Macedonia","Europe",1.397,4434.5,77.14,59
"Thailand","Asia",1.528,4612.8,77.76,34
"Tonga","Oceania",3.783,3543.1,75.38,24
"Trinidad and Tobago","Caribbean",1.632,15205.1,73.82,14
"Turkmenistan","Asia",2.316,4587.5,69.4,50
"Tuvalu","Oceania",3.7,3187.2,65.1,51
"Ukraine","Europe",1.483,3035,74.58,69
"United Arab Emirates","Asia",1.707,39624.7,78.02,84
"Uruguay","Latin Amer",2.043,11952.4,80.66,93
"Uzbekistan","Asia",2.264,1427.3,71.9,36
"Vanuatu","Oceania",3.75,2963.5,73.58,26
"Venezuela","Latin Amer",2.391,13502.7,77.73,94
"Viet Nam","Asia",1.75,1182.7,77.44,31
"Yemen","Asia",4.938,1437.2,67.66,32
